African-AmericanStudies	Institute for Research in African American Studies	4	0	1	0	5
AmericanStudies	American Studies	23	0	9	0	32
Ancient Studies	Classics	0	0	1	0	1
Anthropology	Anthropology	15	0	10	0	25
AppliedMathematics	Mathematics	1	0	0	0	1
Archaeology	Archaeology	0	0	2	0	2
Architecture	Architecture (Barnard)	15	0	0	0	15
Art History	Art History & Archaeology	35	0	16	0	51
Astronomy	Astronomy	1	0	2	0	3
Astrophysics	Astronomy-Physics **	0	2	0	0	2
Biochemistry	Biological Sciences-Chemistry **	0	21	0	0	21
Biology	Biological Sciences	22	0	7	0	29
Biophysics	Biological Sciences-Physics **	0	2	0	0	2
Chemistry	Chemistry	4	0	2	0	6
Classics	Classics	9	0	1	0	10
ComparativeEthnic Studies	Center for the Study of Ethnicity and Race	4	0	2	0	6
ComparativeLiterature and Society	Center for Comparative Literature and Society	21	0	0	0	21
ComputerScience	Computer Science	10	0	7	0	17
ComputerScience and Mathematics	Computer Science-Mathematics **	0	3	0	0	3
Dance	Dance (Barnard)	2	0	0	0	2
Drama andTheatre Arts	Drama And Theatre Arts	3	0	0	0	3
Earth Science	Earth and Environmental Sciences	2	0	1	0	3
East AsianStudies	East Asian Languages & Cultures	24	0	2	0	26
Economics	Economics	93	0	24	0	117
Economics-Mathematics	Economics-Economics **	0	1	0	0	1
Economics-Mathematics	Economics-Mathematics **	0	10	0	0	10
Economics-OperationsResearch	Economics-Industrial Engineering & OperationsResearch **	0	6	0	0	6
Economics-Philosophy	Economics-Economics **	0	1	0	0	1
Economics-Philosophy	Economics-Philosophy **	0	13	0	0	13
Economics-PoliticalScience	Economics-Political Science **	0	33	0	0	33
English	English & Comparative Literature	107	0	18	0	125
EnvironmentalBiology	Ecology, Evolution, and Environmental Biology	4	0	2	0	6
EnvironmentalChemistry	Chemistry	2	0	0	0	2
EnvironmentalScience	Earth and Environmental Sciences	5	0	2	0	7
EvolutionaryBiology of the Human Species	Ecology, Evolution, and Environmental Biology	4	0	2	0	6
Film Studies	Film (School Of The Arts)	18	0	0	0	18
French	French & Romance Philology	8	0	2	0	10
French andFrancophone Studies	French & Romance Philology	1	0	0	0	1
GermanLiterature and Cultural History	Germanic Languages	2	0	1	0	3
HispanicStudies	Spanish & Portuguese	4	0	7	0	11
History	History	92	0	21	0	113
ItalianCultural Studies	Italian	1	0	0	0	1
ItalianLiterature	Italian	1	0	0	0	1
Latin AmericanStudies	Spanish & Portuguese	1	0	1	0	2
Latino Studies	Latino Studies	3	0	3	0	6
Mathematics	Mathematics	18	0	18	0	36
Mathematics-Statistics	Mathematics-Statistics **	0	3	0	0	3
Middle East andAsian Languages and Cultures	Middle East and Asian Languages and Cultures	15	0	7	0	22
Music	Music	10	0	6	0	16
Neuroscienceand Behavior	Biological Sciences-Psychology **	0	36	0	0	36
Philosophy	Philosophy	34	0	15	0	49
Physics	Physics	16	0	3	0	19
PoliticalScience	Political Science	118	0	21	0	139
PoliticalScience-Statistics	Political Science-Statistics **	0	1	0	0	1
Psychology	Psychology	47	0	25	0	72
RegionalStudies	Associated Institutes	6	0	3	0	9
Religion	Religion	10	0	1	0	11
Russian	Slavic Languages	4	0	2	0	6
RussianRegional Studies	Slavic Languages	2	0	0	0	2
Sociology	Sociology	12	0	10	0	22
SpanishLanguage & Literature	Spanish & Portuguese	0	0	2	0	2
SpanishLanguage and Literature	Spanish & Portuguese	5	0	10	0	15
Urban Studies	Urban Studies	14	0	0	0	14
Visual Arts	Visual Arts (School of The Arts)	4	0	6	0	10
Women's andGender Studies	Women's and Gender Studies	2	0	1	0	3
NA	Grand Totals	858	132	276	0	1266
NA	NA	NA	NA	NA	Total Number of Degrees	1014
