African Studies	Institute of African Studies	0	0	1	0	1
African-AmericanStudies	Institute for Research inAfrican-American Studies	3	0	0	0	3
American Studies	Center for American Studies	8	0	1	0	9
Ancient Studies	Classics	1	0	0	0	1
Anthropology	Anthropology	43	0	16	0	59
AppliedMathematics	Mathematics	3	0	0	0	3
Archaeology	Archaeology	5	0	1	0	6
Architecture	Architecture (Barnard)	16	0	0	0	16
Art History	Art History & Archaeology	26	0	14	0	40
Art History and VisualArts	Art History & Archaeology,Visual Arts (Arts) **	0	6	0	0	6
AsianAmerican Studies	Center forAsian American Studies	1	0	0	0	1
Astronomy	Astronomy	1	0	0	0	1
Astrophysics	Astronomy, Physics **	0	4	0	0	4
Biochemistry	Biological Sciences, Chemistry**	0	19	0	0	19
Biology	Biological Sciences	38	0	3	0	41
Biophysics	BiologicalSciences, Physics **	0	4	0	0	4
Chemical Physics	Chemistry, Physics **	0	2	0	0	2
Chemistry	Chemistry	9	0	6	0	15
Classics	Classics	9	0	2	0	11
Comparative EthnicStudies	Center for the Study ofEthnicity and Race	5	0	0	0	5
ComparativeLiterature and Society	Center forComparative Literature and Society	15	0	2	0	17
Computer Science	Computer Science (Engineering)	12	0	6	0	18
Computer Science andMathematics	Computer Science, Mathematics**	0	4	0	0	4
Creative Writing	Writing: Undergraduate (Arts)	33	0	0	0	33
Dance	Dance (Barnard)	3	0	0	0	3
Dramaand Theatre Arts	Drama AndTheatre Arts (Barnard)	8	0	0	0	8
Earth Science	Earth and EnvironmentalSciences	1	0	0	0	1
East Asian Studies	East Asian Languages &Cultures	23	0	5	0	28
Economics	Economics	93	0	19	0	112
Economics-Mathematics	Economics, Mathematics **	0	19	0	0	19
Economics-OperationsResearch	Economics,Industrial Engineering & Operations Research **	0	7	0	0	7
Economics-Philosophy	Economics, Philosophy **	0	15	0	0	15
Economics-PoliticalScience	Economics, Political Science **	0	29	0	0	29
Economics-Statistics	Economics, Statistics **	0	3	0	0	3
English	English & ComparativeLiterature	73	0	2	0	75
EnvironmentalBiology	Ecology,Evolution, and Environmental Biology	11	0	3	0	14
Environmental Chemistry	Chemistry	2	0	0	0	2
Environmental Science	Earth and EnvironmentalSciences	6	0	3	0	9
Ethnicity & Race	Center for the Study ofEthnicity and Race	3	0	0	0	3
Evolutionary Biology ofthe Human Species	Ecology, Evolution, andEnvironmental Biology	7	0	0	0	7
FilmStudies	Film (Arts)	25	0	0	0	25
Financial Economics	Economics	19	0	0	0	19
French	French & Romance Philology	8	0	7	0	15
French and FrancophoneStudies	French & Romance Philology	5	0	5	0	10
German Literature andCultural History	Germanic Languages	3	0	5	0	8
HispanicStudies	Latin Americanand Iberian Cultures	11	0	10	0	21
History	History	110	0	12	0	122
History and Theory ofArchitecture	Art History & Archaeology	0	0	1	0	1
Human Rights	Center For Study Of HumanRights	1	0	3	0	4
Italian Literature	Italian	3	0	0	0	3
Latin-American& Caribbean	Latin-American& Caribbean	1	0	1	0	2
Latino Studies	Latino Studies	1	0	0	0	1
Linguistics	Columbia College	2	0	0	0	2
Mathematics	Mathematics	24	0	17	0	41
Mathematics-Statistics	Mathematics, Statistics **	0	6	0	0	6
MiddleEast and Asian Languages and Cultures	Middle East andAsian Languages and Cultures	18	0	2	0	20
Music	Music	16	0	1	0	17
Neuroscience andBehavior	Biological Sciences, Psychology**	0	47	0	0	47
Philosophy	Philosophy	34	0	11	0	45
Physics	Physics	11	0	4	0	15
PoliticalScience	PoliticalScience	120	0	24	0	144
Portuguese	Latin American and IberianCultures	0	0	1	0	1
Psychology	Psychology	64	0	33	0	97
Religion	Religion	12	0	5	0	17
Russian Languages &Cultures	Slavic Languages	5	0	6	0	11
RussianLiterature & Cultures	SlavicLanguages	2	0	0	0	2
Slavic Studies	Slavic Languages	1	0	0	0	1
Sociology	Sociology	29	0	7	0	36
Statistics	Statistics	4	0	1	0	5
Sustainable Development	Earth Institute	6	0	0	0	6
UrbanStudies	Urban Studies(Barnard)	15	0	0	0	15
Visual Arts	Visual Arts (Arts)	3	0	4	0	7
Women's and GenderStudies	Women's and Gender Studies	3	0	1	0	4
Grand Totals	Grand Totals	1014	165	245	0	1424
NA	NA	NA	NA	NA	Total Number of Degrees	1093
