African Studies	Institute of African Studies	3	0	1	0	4
African-American Studies	Institute for Research inAfrican-American Studies	4	0	0	0	4
American Studies	Center for American Studies	7	0	1	0	8
Ancient Studies	Classics	1	0	0	0	1
Anthropology	Anthropology	12	0	1	0	13
Archaeology	Archaeology	1	0	0	0	1
Architecture	Architecture (Barnard)	2	0	0	0	2
Art History	Art History & Archaeology	9	0	1	0	10
Art History and VisualArts	Art History & Archaeology,Visual Arts (Arts) **	0	3	0	0	3
Astrophysics	Astronomy, Physics **	0	2	0	0	2
Biochemistry	BiologicalSciences, Chemistry **	0	5	0	0	5
Biological Sciences	Biological Sciences	7	0	0	0	7
Chemistry	Chemistry	1	0	1	0	2
Classics	Classics	2	0	0	0	2
Comparative EthnicStudies	Center for the Study ofEthnicity and Race	0	0	1	0	1
ComputerScience	Computer Science(Engineering)	8	0	1	0	9
Creative Writing	Writing: Undergraduate (Arts)	17	0	0	0	17
Earth Sciences	Earth and Environmental Sciences	1	0	0	0	1
East Asian Studies	East Asian Languages &Cultures	2	0	0	0	2
Economics	Economics	34	0	1	0	35
Economics-Mathematics	Economics,Mathematics **	0	11	0	0	11
Economics-OperationsResearch	Economics, IndustrialEngineering & Operations Research **	0	1	0	0	1
Economics-Philosophy	Economics, Philosophy **	0	3	0	0	3
Economics-PoliticalScience	Economics, Political Science **	0	2	0	0	2
Economics-Statistics	Economics, Statistics **	0	1	0	0	1
English	English &Comparative Literature	14	0	1	0	15
Environmental Biology	Ecology, Evolution, andEnvironmental Biology	2	0	0	0	2
Environmental Science	Earth and Environmental Sciences	1	0	0	0	1
Ethnicity & Race	Center for the Study ofEthnicity and Race	1	0	0	0	1
Evolutionary Biology ofthe Human Species	Ecology, Evolution, andEnvironmental Biology	1	0	0	0	1
FilmStudies	Film (Arts)	5	0	0	0	5
Financial Economics	Economics	11	0	0	0	11
French	French & Romance Philology	3	0	0	0	3
German Literature andCultural History	Germanic Languages	1	0	0	0	1
Hispanic Studies	Latin American and IberianCultures	1	0	1	0	2
History	History	24	0	1	0	25
History and Theory ofArchitecture	Art History & Archaeology	0	0	1	0	1
History/Theory ofArchitecture	Art History & Archaeology	1	0	0	0	1
Linguistics	Slavic Languages	0	0	1	0	1
Mathematics	Mathematics	6	0	2	0	8
Mathematics-Statistics	Mathematics,Statistics **	0	1	0	0	1
Middle East and AsianLanguages and Cultures	Middle East and Asian Languagesand Cultures	6	0	1	0	7
Music	Music	2	0	0	0	2
Neuroscience andBehavior	Biological Sciences, Psychology**	0	8	0	0	8
Philosophy	Philosophy	14	0	1	0	15
Physics	Physics	0	0	1	0	1
Political Science	Political Science	48	0	2	0	50
Pre-Medical	General Studies	0	0	2	0	2
Psychology	Psychology	36	0	3	0	39
Regional Studies	Associated Institutes	1	0	0	0	1
Religion	Religion	4	0	0	0	4
Russian Literature &Cultures	Slavic Languages	0	0	1	0	1
Sociology	Sociology	10	0	0	0	10
Sustainable Development	Earth Institute	4	0	0	0	4
Theatre Arts	Drama And Theatre Arts (Barnard)	1	0	0	0	1
UrbanStudies	Urban Studies(Barnard)	7	0	0	0	7
Visual Arts	Visual Arts (Arts)	3	0	2	0	5
Women's Studies	Women's and Gender Studies	1	0	0	0	1
Grand Totals	319	37	28	384	
			Total number of degrees awarded:	338	
